area_1_load_actual_mw,area_2_load_actual_mw,area_3_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,area_3_load_day_ahead_mw,system_load_day_ahead_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,area_3_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,reserve_spin_r3_mw,gen_fuel_coal_mw,gen_fuel_nuclear_mw,gen_fuel_hydro_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_hydro_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_hydro_mw,area_2_fuel_solar_mw,area_3_fuel_coal_mw,area_3_fuel_natural_gas_mw,area_3_fuel_hydro_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,area_3_generation_mw,hour_of_day,day_of_week,month_of_year,is_weekend
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.51472837,0.49500877,0.44801202,0.48656872,0.49567604,0.56567013,0.4101785,0.5126774,0.54142886,0.42421013,0.47146794,0.39827362,0.4048062,0.41259837,0.52363974,0.5317396,0.42035493,0.5601161,0.5190456,0.4752822,0.5187563,0.53949624,0.54898864,0.45922744,0.45995292,0.44357607,0.46926475,0.52748805,0.51139206,0.58739513,0.54533285,0.53306115,0.47844958,0.5408379,0.4437971,0.4946551,0.48779297,0.43004477,0.46167347,0.40282553,0.42527333,0.40019426
0.50883347,0.5144524,0.41851726,0.48370102,0.48126215,0.61397296,0.3320231,0.5087283,0.5681993,0.40406686,0.45754424,0.33632576,0.33293375,0.35268578,0.52100885,0.5623347,0.37127152,0.56765133,0.49000674,0.50291204,0.510257,0.55643106,0.5397878,0.43848518,0.4394115,0.42180148,0.44333252,0.54242605,0.5036783,0.6336769,0.614972,0.5799114,0.45749906,0.54010516,0.40516445,0.47435385,0.48960686,0.3582025,0.46422464,0.32730746,0.3679582,0.33367193
0.49728552,0.54797447,0.37393594,0.48227212,0.47189304,0.6407308,0.23710969,0.5034431,0.59174746,0.3751675,0.4527445,0.28533155,0.25523987,0.2777251,0.5152968,0.5987358,0.32481858,0.5642678,0.48147133,0.5190081,0.48988622,0.5715392,0.53779393,0.36381912,0.42679077,0.40068546,0.40327558,0.55382085,0.48864955,0.6763568,0.6737492,0.62481666,0.4387592,0.531421,0.36020535,0.4529258,0.4849938,0.2871127,0.47503433,0.22827145,0.30581325,0.26286286
0.48228353,0.568992,0.30992576,0.46818343,0.47166488,0.68681294,0.13384543,0.50134,0.6210385,0.35455722,0.44953582,0.22843531,0.18089397,0.1852352,0.5018504,0.6415054,0.25964898,0.57031333,0.45885772,0.53197116,0.46994212,0.5773737,0.54418766,0.2927932,0.395722,0.37799534,0.3738816,0.55527866,0.4736337,0.717018,0.72343045,0.67020583,0.40873763,0.5073134,0.31755745,0.4321218,0.48599103,0.22058341,0.4728913,0.11556885,0.24594297,0.17496796
0.46422789,0.5939615,0.23897196,0.45781693,0.4669764,0.71820945,0.039130863,0.4784996,0.64051384,0.34123167,0.42299667,0.15459812,0.096184015,0.09741646,0.48454452,0.6811736,0.1849449,0.57823193,0.4329619,0.5506111,0.44135106,0.5940846,0.53913504,0.19983754,0.3686783,0.34699047,0.32368737,0.5638275,0.45827416,0.7479131,0.7779346,0.7133147,0.37388927,0.48765674,0.24400058,0.4066986,0.493639,0.14813168,0.4691906,-0.0024112673,0.16751277,0.07553068
0.44538504,0.6327433,0.1612348,0.4563659,0.44894174,0.74635977,-0.06927998,0.46598157,0.6602807,0.28668904,0.4032495,0.08626651,0.014670897,0.008158805,0.46766976,0.7226295,0.10771092,0.56756735,0.41001222,0.5698101,0.3996102,0.60478526,0.5275377,0.10265156,0.33241045,0.31941187,0.26615164,0.5704008,0.43112603,0.77854484,0.8213946,0.778536,0.3327091,0.45745826,0.17857158,0.37841296,0.48834985,0.073589236,0.47479,-0.114362,0.09383887,-0.014716789
0.42621642,0.6614351,0.087056845,0.4446057,0.42538694,0.783671,-0.17145708,0.4644349,0.6770246,0.24678123,0.38797313,0.014402204,-0.0814059,-0.094054304,0.44870046,0.7401737,0.01619109,0.561615,0.38391966,0.58375376,0.359284,0.6053758,0.51288927,0.0007032609,0.29873753,0.2870918,0.19954427,0.5650524,0.40589848,0.8192025,0.87175167,0.8208785,0.27229306,0.4095817,0.11870883,0.3385536,0.4736348,-0.006141993,0.46902156,-0.22200419,0.0031641284,-0.10324253
0.4021981,0.6892279,0.030398162,0.4261148,0.40662646,0.8212351,-0.27417886,0.45728275,0.70440876,0.2026207,0.3644074,-0.05552151,-0.16411884,-0.18961817,0.42716357,0.78058946,-0.06039525,0.54971796,0.348659,0.60178745,0.3289375,0.6128006,0.49511757,-0.09351163,0.26221216,0.24880767,0.13826844,0.5589107,0.38487932,0.8589075,0.91508216,0.87563306,0.21166807,0.3586542,0.046336774,0.28764457,0.46931964,-0.08996268,0.46898407,-0.31580597,-0.08992395,-0.18941371
0.37825245,0.7013536,-0.061953466,0.40542817,0.38675117,0.87143713,-0.37086287,0.45126396,0.72732687,0.1486232,0.33054617,-0.11834826,-0.24201576,-0.28700855,0.4036855,0.83417845,-0.138986,0.53608507,0.30607295,0.6138985,0.28313455,0.6138324,0.47715226,-0.18016502,0.21778001,0.20891519,0.06363727,0.5561721,0.3646722,0.8928239,0.9703315,0.92728376,0.1440255,0.30197972,-0.03055076,0.23318014,0.45160645,-0.1701928,0.44619742,-0.41066062,-0.17740926,-0.25369155
0.34826532,0.7088829,-0.14442544,0.38352987,0.36106238,0.9077033,-0.45483172,0.44684222,0.74162287,0.094695285,0.2879959,-0.18350987,-0.3194455,-0.37704402,0.37939298,0.8555662,-0.21565126,0.51441383,0.2607911,0.61319286,0.22718063,0.6170887,0.45377904,-0.2806877,0.17626472,0.16274339,-0.011318059,0.55611944,0.34234008,0.9249445,1.0168713,0.97978824,0.09053785,0.24077675,-0.107740834,0.18054977,0.4373425,-0.24399851,0.43931505,-0.48961702,-0.25996196,-0.32358375
0.32268825,0.73065174,-0.22202253,0.37207863,0.33845645,0.94259626,-0.5331395,0.4338868,0.75317776,0.03741729,0.2475459,-0.25755158,-0.39812863,-0.45576382,0.35859567,0.88927364,-0.29036063,0.5042951,0.20887217,0.623884,0.16423094,0.6155112,0.4336997,-0.36030895,0.12407571,0.11794347,-0.0976521,0.5477255,0.31230947,0.96299976,1.0638334,1.0399841,0.024634931,0.17900063,-0.18783636,0.11944963,0.41991314,-0.3307598,0.42822698,-0.5615138,-0.34000194,-0.38969752
