field,中文名,score
area_1_fuel_wind_mw,区域1风电出力,0.5031161904335022
area_3_fuel_coal_mw,区域3燃煤出力,0.06551190465688705
area_3_fuel_solar_mw,区域3光伏出力,0.046360842883586884
area_1_fuel_solar_mw,区域1光伏出力,0.0418974906206131
area_3_fuel_natural_gas_mw,区域3燃气出力,0.0357266366481781
gen_fuel_solar_mw,光伏出力,0.03187745437026024
hour_of_day,小时,0.029142241925001144
reserve_reg_down_mw,调频下备用,0.015538901090621948
area_2_fuel_hydro_mw,区域2水电出力,0.015270361676812172
system_load_day_ahead_mw,系统日前负荷,0.01434131059795618
area_2_generation_mw,区域2发电总量,0.012603096663951874
reserve_reg_up_mw,调频上备用,0.012452397495508194
area_3_net_export_mw,区域3净送出,0.011530965566635132
area_2_fuel_natural_gas_mw,区域2燃气出力,0.010742561891674995
area_1_fuel_coal_mw,区域1燃煤出力,0.010272128507494926
area_2_load_day_ahead_mw,区域2日前负荷,0.010245035402476788
area_2_net_export_mw,区域2净送出,0.00988626666367054
month_of_year,月份,0.009440388530492783
system_losses_mw,系统网损,0.008682813495397568
system_load_actual_mw,系统实时负荷,0.008135695941746235
day_of_week,星期,0.008125991560518742
reserve_spin_r3_mw,区域3旋转备用,0.008108487352728844
area_2_fuel_solar_mw,区域2光伏出力,0.007848636247217655
area_3_load_actual_mw,区域3实时负荷,0.006687042769044638
area_3_load_day_ahead_mw,区域3日前负荷,0.006175442133098841
gen_fuel_hydro_mw,水电出力,0.006145169027149677
gen_fuel_nuclear_mw,核电出力,0.005557691678404808
area_1_generation_mw,区域1发电总量,0.005486732814460993
area_2_load_actual_mw,区域2实时负荷,0.005423357244580984
gen_fuel_coal_mw,燃煤出力,0.005234645679593086
gen_fuel_natural_gas_mw,燃气出力,0.004938137251883745
area_3_fuel_hydro_mw,区域3水电出力,0.004799061920493841
area_1_fuel_hydro_mw,区域1水电出力,0.004210506100207567
area_2_fuel_coal_mw,区域2燃煤出力,0.004045074339956045
area_1_net_export_mw,区域1净送出,0.004013175144791603
area_1_fuel_natural_gas_mw,区域1燃气出力,0.002928053727373481
area_1_load_day_ahead_mw,区域1日前负荷,0.0022451800759881735
reserve_spin_r2_mw,区域2旋转备用,0.0019655858632177114
area_1_load_actual_mw,区域1实时负荷,0.0017634645337238908
reserve_spin_r1_mw,区域1旋转备用,0.0015239082276821136
area_1_fuel_nuclear_mw,区域1核电出力,0.0
is_weekend,是否周末,0.0
