field,中文名,score
area_1_generation_mw,区域1发电总量,0.5979673922166543
area_1_load_actual_mw,区域1实时负荷,0.5941162236021734
reserve_spin_r1_mw,区域1旋转备用,0.5941160580867346
area_1_load_day_ahead_mw,区域1日前负荷,0.5941156683580584
area_2_generation_mw,区域2发电总量,0.5892889597973453
system_generation_mw,系统发电量,0.586520251321331
reserve_spin_r2_mw,区域2旋转备用,0.585749401251639
area_2_load_actual_mw,区域2实时负荷,0.5857492858096378
area_2_load_day_ahead_mw,区域2日前负荷,0.5857482332434184
system_load_day_ahead_mw,系统日前负荷,0.5825238822938102
system_load_actual_mw,系统实时负荷,0.5815738798629704
system_losses_mw,系统网损,0.5432217798448529
area_2_fuel_coal_mw,区域2燃煤出力,0.5052006076742803
area_2_fuel_natural_gas_mw,区域2燃气出力,0.4971883324782525
gen_fuel_coal_mw,燃煤出力,0.47208257655526026
area_1_fuel_coal_mw,区域1燃煤出力,0.46387395597554704
area_3_generation_mw,区域3发电总量,0.4202900762653018
area_3_load_day_ahead_mw,区域3日前负荷,0.41416611058057773
area_3_load_actual_mw,区域3实时负荷,0.4141639900476797
reserve_spin_r3_mw,区域3旋转备用,0.4141638703201311
area_3_fuel_hydro_mw,区域3水电出力,0.3392123465167051
area_1_fuel_natural_gas_mw,区域1燃气出力,0.32204839998817875
gen_fuel_hydro_mw,水电出力,0.3166564672389214
area_2_fuel_hydro_mw,区域2水电出力,0.28136865550743695
gen_fuel_natural_gas_mw,燃气出力,0.2625487914130329
area_1_fuel_hydro_mw,区域1水电出力,0.23131245554968025
hour_of_day,小时,0.21323772030530636
area_3_fuel_solar_mw,区域3光伏出力,0.2044940613092122
area_1_fuel_nuclear_mw,区域1核电出力,0.17812772827931833
gen_fuel_nuclear_mw,核电出力,0.17812772827931833
gen_fuel_solar_mw,光伏出力,0.16552338034254355
month_of_year,月份,0.1071267594684327
area_2_fuel_solar_mw,区域2光伏出力,0.10213862660498128
area_1_fuel_solar_mw,区域1光伏出力,0.06116116536509909
area_3_fuel_wind_mw,区域3风电出力,0.03285606054215053
gen_fuel_wind_mw,风电出力,0.03246246778167724
