area_1_load_actual_mw,area_2_load_actual_mw,system_load_actual_mw,area_1_load_day_ahead_mw,area_2_load_day_ahead_mw,system_load_day_ahead_mw,system_generation_mw,system_losses_mw,area_1_net_export_mw,area_2_net_export_mw,reserve_reg_up_mw,reserve_reg_down_mw,reserve_spin_r1_mw,reserve_spin_r2_mw,gen_fuel_coal_mw,gen_fuel_natural_gas_mw,gen_fuel_nuclear_mw,gen_fuel_wind_mw,gen_fuel_solar_mw,area_1_fuel_coal_mw,area_1_fuel_natural_gas_mw,area_1_fuel_nuclear_mw,area_1_fuel_wind_mw,area_1_fuel_solar_mw,area_1_generation_mw,area_2_fuel_coal_mw,area_2_fuel_natural_gas_mw,area_2_fuel_solar_mw,area_2_generation_mw,area_3_fuel_coal_mw,area_3_fuel_wind_mw,area_3_fuel_solar_mw,hour_of_day,month_of_year
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5538455,0.50024706,0.42331117,0.5307622,0.41496113,0.45876464,0.4640175,0.56341714,0.54987967,0.53277856,0.4871368,0.4467836,0.53859067,0.49842384,0.47351328,0.46971047,0.4510569,0.57540005,0.5798033,0.4389665,0.5327448,0.41087386,0.5528169,0.5406817,0.46552983,0.43528718,0.5311729,0.51962703,0.4605267,0.49679786,0.5357246,0.5188757,0.5106031,0.42232373
0.5797823,0.47886974,0.37685356,0.54686654,0.38819474,0.4482044,0.456569,0.6230782,0.60814136,0.5388083,0.4899671,0.42233834,0.562913,0.49567387,0.47622898,0.46661872,0.434373,0.59425175,0.61897355,0.43520725,0.5629131,0.37816745,0.5999448,0.59651846,0.48683906,0.41649172,0.53445184,0.53341264,0.45025194,0.52817774,0.5328366,0.5762467,0.5021612,0.4093054
0.58290225,0.45403478,0.33051354,0.5781522,0.3646307,0.4278985,0.4258352,0.6524102,0.6513479,0.5368873,0.48135963,0.39842743,0.57565635,0.49905542,0.4839417,0.4722732,0.43811256,0.59900427,0.67173433,0.45045173,0.5789348,0.3726753,0.6482262,0.6344531,0.5212421,0.43652213,0.53611195,0.5452969,0.43467066,0.5447195,0.52718514,0.62248087,0.49877372,0.40992242
0.6053207,0.43462387,0.29366323,0.60544175,0.3412438,0.4224117,0.41713497,0.68481696,0.6889591,0.53182685,0.49497116,0.38914084,0.5859417,0.4965153,0.50908077,0.4692239,0.44100946,0.6165092,0.6954277,0.4769786,0.60043794,0.40273285,0.69420516,0.6664267,0.5493407,0.47507715,0.52848804,0.5418841,0.4228444,0.55714744,0.5280974,0.66380024,0.49854293,0.37255627
0.61850333,0.40196753,0.267641,0.61317277,0.3140767,0.39590895,0.39874336,0.72549087,0.72828645,0.54167414,0.487246,0.3630576,0.60595375,0.4760727,0.52542216,0.47609782,0.4450926,0.63624233,0.7455106,0.50123423,0.62643194,0.3870087,0.7346612,0.69885916,0.5508444,0.50163376,0.519858,0.5524056,0.3939252,0.58058757,0.5326082,0.68970716,0.47122777,0.3433893
0.6425635,0.3716545,0.21501704,0.63055986,0.27018055,0.36135566,0.37326166,0.77193844,0.77699554,0.5389029,0.48327807,0.33725762,0.62986284,0.46092975,0.5490185,0.47315103,0.4223662,0.64207155,0.771544,0.51281035,0.6489149,0.3903679,0.7841168,0.71607035,0.5557788,0.5518834,0.50654,0.56348217,0.36588198,0.603211,0.5309685,0.71910924,0.45803103,0.3017836
0.6599579,0.33712623,0.16745444,0.64933866,0.22593397,0.33561933,0.3496148,0.81162566,0.8185541,0.5427199,0.48404923,0.32172173,0.64894825,0.4516339,0.5680525,0.46681985,0.40120083,0.65105146,0.80383474,0.5379383,0.67078185,0.37262854,0.8218208,0.74884194,0.5658656,0.57607764,0.4875819,0.56877345,0.32662562,0.61977255,0.5323354,0.73959595,0.43918815,0.25707948
0.66953397,0.3033461,0.11142759,0.66800004,0.17716694,0.31606713,0.31896847,0.85209364,0.85287875,0.538645,0.4753111,0.28888005,0.6638414,0.42907065,0.57291776,0.47048026,0.38047758,0.6508665,0.82835346,0.54861194,0.6870289,0.34294933,0.8467675,0.7667715,0.57101095,0.61913157,0.4592725,0.5668137,0.2740878,0.63870883,0.53083515,0.75935817,0.4142695,0.22149129
0.67962533,0.2723669,0.044176094,0.6931403,0.118016794,0.28946495,0.28879857,0.89047587,0.9035525,0.5391819,0.47312605,0.2611535,0.6748569,0.41083604,0.5982088,0.47007716,0.3452892,0.65263647,0.8595717,0.5789825,0.6990014,0.29588595,0.90049833,0.7944338,0.58403677,0.6417359,0.4298376,0.5745582,0.22905944,0.6525087,0.5182561,0.77820736,0.39265442,0.17568307
