field,中文名,score
area_3_fuel_natural_gas_mw,区域3燃气出力,2.7122037410736084
system_losses_mw,系统网损,2.644808053970337
area_1_fuel_wind_mw,区域1风电出力,2.6435792446136475
area_1_fuel_hydro_mw,区域1水电出力,2.619227409362793
area_2_fuel_coal_mw,区域2燃煤出力,2.6186492443084717
area_1_fuel_coal_mw,区域1燃煤出力,2.6178104877471924
area_1_fuel_nuclear_mw,区域1核电出力,2.6143178939819336
area_2_net_export_mw,区域2净送出,2.605832815170288
area_3_fuel_solar_mw,区域3光伏出力,2.580455780029297
area_3_net_export_mw,区域3净送出,2.5248560905456543
area_3_fuel_wind_mw,区域3风电出力,2.5208144187927246
area_1_fuel_solar_mw,区域1光伏出力,2.5187182426452637
reserve_reg_down_mw,调频下备用,2.414649724960327
gen_fuel_wind_mw,风电出力,2.3819103240966797
area_2_fuel_hydro_mw,区域2水电出力,-2.0778934955596924
gen_fuel_natural_gas_mw,燃气出力,-2.354539155960083
area_3_load_actual_mw,区域3实时负荷,-2.3894948959350586
system_load_day_ahead_mw,系统日前负荷,-2.401458978652954
area_1_load_day_ahead_mw,区域1日前负荷,-2.455583333969116
reserve_spin_r3_mw,区域3旋转备用,-2.4661314487457275
area_3_generation_mw,区域3发电总量,-2.566988229751587
gen_fuel_solar_mw,光伏出力,-2.5743837356567383
gen_fuel_nuclear_mw,核电出力,-2.5851879119873047
area_1_net_export_mw,区域1净送出,-2.592580795288086
reserve_reg_up_mw,调频上备用,-2.630908727645874
area_2_fuel_natural_gas_mw,区域2燃气出力,-2.652329444885254
gen_fuel_coal_mw,燃煤出力,-2.653865098953247
area_3_fuel_coal_mw,区域3燃煤出力,-2.6614878177642822
reserve_spin_r1_mw,区域1旋转备用,-2.6709535121917725
area_1_load_actual_mw,区域1实时负荷,-2.692793369293213
hour_of_day,小时,-2.6948063373565674
system_load_actual_mw,系统实时负荷,-2.695255756378174
area_2_fuel_solar_mw,区域2光伏出力,-2.7046024799346924
gen_fuel_hydro_mw,水电出力,-2.7257487773895264
area_3_load_day_ahead_mw,区域3日前负荷,-2.754190444946289
