目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
bus_215_va_deg,节点215电压相角,95%,5,DGatingDNN,DGatingDNN,0.9500002461780995,0.9900794622218906,46,area_1_fuel_coal_mw|area_1_load_actual_mw|area_3_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_solar_mw
bus_215_va_deg,节点215电压相角,95%,5,DGatingDNN,STG,0.9083709929712277,0.9900794622218906,46,area_1_fuel_coal_mw|system_losses_mw|area_1_fuel_solar_mw|gen_fuel_natural_gas_mw|area_1_fuel_wind_mw
bus_215_va_deg,节点215电压相角,95%,5,DGatingDNN,LassoNet,0.9033957033582368,0.9900794622218906,46,system_losses_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_3_net_export_mw|area_1_fuel_natural_gas_mw
bus_215_va_deg,节点215电压相角,95%,5,DGatingDNN,XGBoost,0.8672377623806975,0.9900794622218906,46,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_1_generation_mw
bus_215_va_deg,节点215电压相角,95%,5,DGatingDNN,Lasso,0.9508382022298011,0.9900794622218906,46,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|area_1_load_actual_mw|area_2_fuel_natural_gas_mw
bus_215_va_deg,节点215电压相角,95%,5,DGatingDNN,Pearson,0.7897938681308299,0.9900794622218906,46,system_losses_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_2_generation_mw|reserve_spin_r2_mw
bus_215_va_deg,节点215电压相角,97%,7,STG,DGatingDNN,0.9619204259470505,0.9900794622218906,46,area_1_fuel_coal_mw|area_1_load_actual_mw|area_3_fuel_wind_mw|area_1_fuel_natural_gas_mw|area_1_fuel_solar_mw|system_losses_mw|area_3_fuel_coal_mw
bus_215_va_deg,节点215电压相角,97%,7,STG,STG,0.9627478698187115,0.9900794622218906,46,area_1_fuel_coal_mw|system_losses_mw|area_1_fuel_solar_mw|gen_fuel_natural_gas_mw|area_1_fuel_wind_mw|area_1_load_actual_mw|area_2_fuel_hydro_mw
bus_215_va_deg,节点215电压相角,97%,7,STG,LassoNet,0.9448632626818381,0.9900794622218906,46,system_losses_mw|area_2_fuel_natural_gas_mw|area_3_fuel_solar_mw|area_3_net_export_mw|area_1_fuel_natural_gas_mw|area_1_load_actual_mw|area_1_fuel_wind_mw
bus_215_va_deg,节点215电压相角,97%,7,STG,XGBoost,0.9481024759135843,0.9900794622218906,46,system_losses_mw|area_3_fuel_solar_mw|area_1_fuel_solar_mw|area_2_fuel_natural_gas_mw|area_1_generation_mw|area_1_fuel_wind_mw|area_3_net_export_mw
bus_215_va_deg,节点215电压相角,97%,7,STG,Lasso,0.9562052610732137,0.9900794622218906,46,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|area_1_load_actual_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_1_fuel_wind_mw
bus_215_va_deg,节点215电压相角,97%,7,STG,Pearson,0.7863052105118078,0.9900794622218906,46,system_losses_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_2_generation_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw
