目标,字段数,代理模型v(S),真实重训R2,偏差,重训耗时
121号核电机组出力,1,-0.17056132572930371,-0.25121445826838973,0.08065313253908601,0.2
121号核电机组出力,2,0.6404070634188537,0.7005513818409317,-0.060144318422078014,0.2
121号核电机组出力,3,-0.14290570287665694,0.06956624968530412,-0.21247195256196105,0.4
121号核电机组出力,5,0.420808637852775,0.516103144328937,-0.095294506476162,0.2
121号核电机组出力,8,0.6046067209435377,0.7489869353280341,-0.14438021438449633,0.2
121号核电机组出力,12,0.9812066709254406,0.9998523229831011,-0.018645652057660556,1.2
121号核电机组出力,18,0.348433506980795,0.7049982511304707,-0.35656474414967565,0.7
121号核电机组出力,26,0.985569851108533,0.9908540385973472,-0.005284187488814207,0.5
121号核电机组出力,34,0.9815800703100852,0.9975624505905959,-0.01598238028051069,0.8
121号核电机组出力,44,0.9888555722590593,0.9991534772197193,-0.010297904960659965,1.3
121号核电机组出力,46,0.9882306441498635,0.9991569255659658,-0.010926281416102301,1.3
